### NAME|CATEGORY|DSID
ttbar_lep|ttbar|410000
ggH125_tautaull|Higgs|341122
VBFH125_tautaull|Higgs|341155
ZH125_ZZ4lep|Higgs|341947
WH125_ZZ4lep|Higgs|341964
VBFH125_ZZ4lep|Higgs|344235
ggH125_ZZ4lep|Higgs|345060
VBFH125_WW2lep|Higgs|345323
ggH125_WW2lep|Higgs|345324
WpH125J_qqWW2lep|Higgs|345325
WpH125J_lvWW2lep|Higgs|345327
ZH125J_qqWW2lep|Higgs|345336
ZH125J_llWW2lep|Higgs|345337
ZH125J_vvWW2lep|Higgs|345445
ZqqZll|Diboson|363356
WqqZll|Diboson|363358
WpqqWmlv|Diboson|363359
WplvWmqq|Diboson|363360
WlvZqq|Diboson|363489
llll|Diboson|363490
lllv|Diboson|363491
llvv|Diboson|363492
lvvv|Diboson|363493
Zmumu_PTV0_70_CVetoBVeto|Zjets|364100
Zmumu_PTV0_70_CFilterBVeto|Zjets|364101
Zmumu_PTV0_70_BFilter|Zjets|364102
Zmumu_PTV70_140_CVetoBVeto|Zjets|364103
Zmumu_PTV70_140_CFilterBVeto|Zjets|364104
Zmumu_PTV70_140_BFilter|Zjets|364105
Zmumu_PTV140_280_CVetoBVeto|Zjets|364106
Zmumu_PTV140_280_CFilterBVeto|Zjets|364107
Zmumu_PTV140_280_BFilter|Zjets|364108
Zmumu_PTV280_500_CVetoBVeto|Zjets|364109
Zmumu_PTV280_500_CFilterBVeto|Zjets|364110
Zmumu_PTV280_500_BFilter|Zjets|364111
Zmumu_PTV500_1000|Zjets|364112
Zmumu_PTV1000|Zjets|364113
Zee_PTV0_70_CVetoBVeto|Zjets|364114
Zee_PTV0_70_CFilterBVeto|Zjets|364115
Zee_PTV0_70_BFilter|Zjets|364116
Zee_PTV70_140_CVetoBVeto|Zjets|364117
Zee_PTV70_140_CFilterBVeto|Zjets|364118
Zee_PTV70_140_BFilter|Zjets|364119
Zee_PTV140_280_CVetoBVeto|Zjets|364120
Zee_PTV140_280_CFilterBVeto|Zjets|364121
Zee_PTV140_280_BFilter|Zjets|364122
Zee_PTV280_500_CVetoBVeto|Zjets|364123
Zee_PTV280_500_CFilterBVeto|Zjets|364124
Zee_PTV280_500_BFilter|Zjets|364125
Zee_PTV500_1000|Zjets|364126
Zee_PTV1000|Zjets|364127
Ztautau_PTV0_70_CVetoBVeto|Zjets|364128
Ztautau_PTV0_70_CFilterBVeto|Zjets|364129
Ztautau_PTV0_70_BFilter|Zjets|364130
Ztautau_PTV70_140_CVetoBVeto|Zjets|364131
Ztautau_PTV70_140_CFilterBVeto|Zjets|364132
Ztautau_PTV70_140_BFilter|Zjets|364133
Ztautau_PTV140_280_CVetoBVeto|Zjets|364134
Ztautau_PTV140_280_CFilterBVeto|Zjets|364135
Ztautau_PTV140_280_BFilter|Zjets|364136
